abbrev_k, abbrev_v
Ibs, IBS
Ic, IC
Ica, ICA
Ids, IDS
Ie, IE
Ihs, IHS
Indllc, Industries LLC
Ins, Insurance
Inst, Installation
Int'l, International
Inv, Investment
Invst, Investment
Ipc, IPC
Ipf, IPF
Irr, Irrigation
Isdn, ISDN
Ists, ISTS
Itr, ITR
Jfc, JFC
Jml, JML
Kdu, KDU
Kec, KEC
Klm, KLM
Kpmg, KPMG
Kyb, KYB
Ldc, LDC
Lg, LG
Llh, LLH
Lll, LLC
Lllc, LLC
Lm, LM
Lmt, Limited
Lp, LP
Lt, Limited
Mab, MAB
Mat, Materials
Matest, Materials Establishment
Mbda, MBDA
Mbs, MBS
Mdj, MDJ
Mfrs, Manufacturers
Mgr, Manager
Mi, MI
Mk, MK
Mkm, MKM
Mm, MM
Msa, MSA
Mssl, MSSL
Mtgco, Manufacturing Company
Nbm, NBM
Ncr, NCR
Nd8, ND eight
Neb, NEB
Nhk, NHK
Nktel, NK Tel
Npcc, NPCC
Nps, NPS
Nrs, NRS
Nrtc, NRTC
Nsyle, Nstyle
Nyc, NYC
O'rourke, O'Rourke
Off, Office
Oy, OY
Pa, PA
Pabx, PABX
Pharm, Pharmacy
Physiotheraphy, Physiotherapy
Plc, Place
Pme, PME
Pnv, PNV
Pricewaterhousecoopers, Price Waterhouse Coopers
Proj, Project
Pty, Proprietary
Pubest, Publishing Establishment
Publ, Public
Pwc, PWC
Rbs, RBS
Rdk, RDK
Ref,Refrigerator
Repshop, Repair Shop
Rfc, RFC
Rh, RH
Rj, RJ
Rkm, 
Rkn, RKN
Rmd, RMD
Rpac, R Pac
Sanitaryware, Sanitary Ware
Sbmh, SBMH
Sc, SC
Sdc, SDC
Sdn, SDN
Sds, SDS
Servest, Services Establishment
Sgb, SGB
Sgs, SGS
Singaportgulf, Singapore Gulf
Supar, Supar + Market = Supermarket
Supermarkt, Supermarket
Supplest, Supplies
Surge, Surgery
Surgi (Surgi + Tech, Surgitech)
Svcs, Services
Tail, Tailoring
Tailaring, Tailoring
Tas, TAS
Tba, TBA
Tdg, Trading
Text, Textiles
Textes, Textiles
Thl, THL
Tic, Ticaret
Tiloring, Tailoring
Tlrgstores, Tailoring Stores
Tmk, TMK
Tns, TNS
Totalfinaelf, Total Fina Elf
Trad, Trading
Tradcollc, Trading Company LLC
Tradg, Trading
Tradgest, Trading Establishment
Tranp, Transport
Trans, Transport BUT ONLY AT END OF A LINE
Trco, Trading Company
Trdcollc, Trading Company LLC
Trdest, Trading Establishment
Trdgest, Trading Establishment
Trdgroup, Trading Group
Trdi, Trading
Trt, TRT
Tt, T T
Uaq, UAQ
Ubs, UBS
Unb, UNB
Uop, UOP
Ups, UPS
Usl, USL
Uts, UTS
Vsl, VSL
Vstar, V Star
Vtti, VTTI
Wem, WEM
Wo, Workshop
Ws, WS
Wshop, Workshop
Wsm, WSM
Wsp, WSP
Www, WWW
Xlnc, XLNC
cma,CMA
cgm,CGM
i, I
kfc,KFC
it, IT
atm, ATM
jlt, JLT
id, ID
smb, SMB
DXB, Dubai
auh, AUH
uk, UK
sas,SAS
vip, VIP
hr, HR
us, US
usa, USA
ip, IP
sms, SMS
sim, SIM
vpn, VPN
fab, FAB
fgb, FGB
cctv, CCTV
ndc, NDC
acme, ACME
tv, TV
usb, UBS
gm, GM
ne, NE
uae, UAE
aed, AED
ss, SS
dhl, DHL
tnt, TNT
jw, JW
ibm, IBM
adcb, ADCB
adib, ADIB
mbc, MBC
itl, ITL
dib, DIB
att, AT and T
bmw, BMW
dr, Doctor
eng, Engineer
shj, Sharjah
sh, Sheikh
shk, Sheikh
intl, International
govt, Government
min, Ministry
po, Post Office
maf, Majid Al Futtaim
tec, Technical
st, Saint
fuj, Al Fujairah
mr, Mister
elife, E Life
&, and
2nd, Second
GENL, General
hi, High
egov, E Government
govtof, Government of
maint, Maintenance
mant, Maintenance
elect, Electronic 
ajm, Ajman
rak, Ras Al Khaimah
uaq, Umm Al Quwain
equip, Equipment
mat, material
engg, Engineering
